,raw,processed,label,Predict
7485,"PPKM di perpanjang !!! 
yuk bundah-bundah dan om-om tersayang. dibelik yuk 🤭
daripada gak ada kegiatan, mending sama-sama olahraga mataaa yuk 😭😭

#nevertheles #PoliceUniversity #VIUpremium #VIU #Netflix https://t.co/QZfiZ1ooFX",ppkm di perpanjang yuk bundah bundah dan om om tersayang dibelik yuk daripada enggak ada kegiatan lebih baik sama sama olahraga mata yuk,1,2
6209,@gariegowin @lowkyjessy Hey ppkm masihan wkwk,hai ppkm masihan wkwk,1,1
7742,PPKM (pernah pacaran kemudian melupakan) Hahaha,ppkm pernah pacaran kemudian melupakan hahaha,1,1
1188,"Percuma pemerintah nerapin PPKM dsb kalo lo ganurut. Percuma kalo pemerintahnya sebagus negara superpower kalo lo nya ndablek. Inget awal pandemi semua lockdown, sebenernya bagus bisa diterapin dan berhasil memperlambat tapi pemerintah jg harus turun tangan bantu rakyat",percuma pemerintah menerapkan ppkm dsb jika kamu ganurut percuma jika pemerintahnya sebagus negara superpower jika kamu nya ndablek ingat awal pandemi semua lockdown sebenarnya bagus bisa diterapin dan berhasil memperlambat tapi pemerintah juga harus turun tangan bantu rakyat,0,2
8420,"Ternyata semenjak ppkm jam segini masih banyak orang yang belum tidur ya, ot dari malem sampe pagi begadang pokoknya banyak lah. Kirain aku doang 🤣😂",ternyata semenjak ppkm jam segini masih banyak orang yang belum tidur iya ot dari malam sampai pagi begadang pokoknya banyak lah mengira saya doang,1,0
2018,@Jamrus77669073 @KompasTV Maaf saya tau kog protap PPKM DARURAT. Begini. Pemerintah sudah mengeluarkan aturan siapa yang berhak melakukan kegiatan di masa PPKM DARURAT tapi dengan adanya ketentuan syarat. Kita tidak berada di tempat tapi apakah kedua pihak sudah sama2 mengikuti ketentuan pemerintah,maaf saya tahu kok protap ppkm darurat begini pemerintah sudah mengeluarkan aturan siapa yang berhak melakukan kegiatan di masa ppkm darurat tapi dengan adanya ketentuan syarat kita tidak berada di tempat tapi apakah kedua pihak sudah sama mengikuti ketentuan pemerintah,1,1
360,"PPKM ?
(Pengen Peluk Kamu Manis)
Bukan PPKM ala pemerintah ya. Rakyat menjerittt.",ppkm mau peluk kamu manis bukan ppkm ala pemerintah iya rakyat menjerit,0,0
3542,Aduh kasian banget yg diluar kota diperpanjang dong ppkm nyaa :(,aduh kasihan banget yang diluar kota diperpanjang dong ppkm nya,0,0
96,@PT_Transjakarta min 7P beroperasional gak selama PPKM darurat?,min beroperasional enggak selama ppkm darurat,1,1
4977,"@KompasTV Gimana gak menjerit, ppkm tapi gak dikasih solusinya yang nyari nafkah harian...
Bapak sehat",bagaimana enggak menjerit ppkm tapi enggak dikasih solusinya yang mencari nafkah harian bapak sehat,0,0
4564,"@tirta_hudhi Sebenernya menurut undang-undang ada kewajiban pemerintah gak sih guna mengcover kebutuhan mereka yang terdampak selama karantina?
Sering liat asumsi liar kalo namanya sengaja dibuat jadi PPKM alih-alih pake nama lockdown guna menghindari kewajiban memenuhi kebutuhan pokok itu.",sebenarnya menurut undang undang ada kewajiban pemerintah enggak sih guna mengcover kebutuhan mereka yang terdampak selama karantina sering lihat asumsi liar jika namanya sengaja dibuat jadi ppkm alih alih pakai nama lockdown guna menghindari kewajiban memenuhi kebutuhan pokok itu,0,0
1224,PPKM DARURAT JANGAN DIPERPANJANG LAGI MR.PRESIDENT.,ppkm darurat jangan diperpanjang lagi mr president,0,1
5733,"@WSulchan Kocak ya, bikin hiburan Di masa PPKM",kocak iya buat hiburan di masa ppkm,0,1
8283,@VIVAcoid Gini loh @KemenkesRI cara atasih korona. Bukanya malah ppkm gak guna,begini loh cara atasih korona bukanya bahkan ppkm enggak guna,0,0
3434,"Dukung PPKM Level 4 Di Perpanjang
Semesta Mendukung Jokowi https://t.co/6q2gQ5I1s6",dukung ppkm level di perpanjang semesta mendukung jokowi,2,2
7883,"@sepatuboott gapaa gasemua kamu harus tau teh, enak sii cuma bosen bgt kalo udh libur semseter apalagi 2 bulan trus dibareni ppkm gini",gapaa gasemua kamu harus tahu kakak perempuan enak sih cuma bosan banget jika udah libur semseter apalagi bulan terus dibareni ppkm begini,0,0
2147,"@EnggalPMT Jujur saja saat ini saya tidak sedikit pun memikirkan tentang divaksin atau tidak, bagi saya yg lebih pnting bagaimana nasib usaha saya mulai diterapkan PPKM d Banda aceh, yg mana btas waktu pedangan kaki 5 smpai 20.00 tpi restoran boleh 24 jam melayani pembeli. ,😭😭",jujur saja saat ini saya tidak sedikit pun memikirkan tentang divaksin atau tidak bagi saya yang lebih penting bagaimana nasib usaha saya mulai diterapkan ppkm banda aceh yang mana btas waktu pedangan kaki sampai tapi restoran boleh jam melayani pembeli,0,0
416,"aku suka ppkm without pp @jongseonfg aw mlu bgt,,,, https://t.co/0G6ncrr1X7",saya suka ppkm without pulang pergi aw malu banget,1,1
2689,"italy menang itu pengalihan isu gaes. tetap kawal ppkm, harus tetap pakai maskermu.",italy menang itu pengalihan isu guys tetap kawal ppkm harus tetap pakai maskermu,2,2
7900,"Selamat pagi hari terakhir PPKM, apakah besok kita akan merdeka? Kita tunggu saja hehe",selamat pagi hari terakhir ppkm apakah besok kita akan merdeka kita tunggu saja he,1,1
532,Lagi PPKM 🙃 https://t.co/QdL2IrlsLG,lagi ppkm,1,1
8743,@angellasvydn_ Yok yok yok. Mumpung lagi dirumah efek ppkm,yuk yuk yuk selagi lagi dirumah efek ppkm,1,1
3288,"Presiden ame jajaran rezimnye antek cine komunis sih, siap"" aje dah kite ppkm (pelan pelan kite mati)",presiden ame jajaran rezimnye antek cine komunis sih siap saja sudah kita ppkm pelan pelan kita mati,0,0
4936,"@bangZhack86 Di Sydney rakyat yang di kasih BST rp. 8juta/minggu saja masih menolak, di negeri walakanda Lockdown ganti istilah PSBB PPKM level2an biar Gratis, rakyat nolak ya wajar. Tapi kenyataanya rakyat walakanda cuma diam Nrimo.",di sydney rakyat yang di kasih bst rp juta minggu saja masih menolak di negeri walakanda lockdown ganti istilah psbb ppkm level an supaya gratis rakyat nolak iya wajar tapi kenyataanya rakyat walakanda cuma diam nrimo,0,0
7387,"@KRMTRoySuryo2 Kalo memang niat bagi sembako di masa ppkm, di data di rt rw siapa yang layak terima, trus anterin ke alamatnya.. 🙂",jika memang niat bagi sembilan bahan pokok di masa ppkm di data di rw siapa yang layak terima terus antar ke alamatnya,1,1
2189,"""Bagi saya, PPKM Darurat itu semacam ""lip service"", basa-basi Pemerintah yang seolah-olah peduli dengan keselamatan Warga Negara"". #Covid19 #Pandemi #PPKMDarurat

https://t.co/pFcPTINczC",bagi saya ppkm darurat itu semacam lip service basa basi pemerintah yang seolah olah peduli dengan keselamatan warga negara,0,0
1261,PPKM Darurat min gaboleh ada resepsi https://t.co/lHvDWQndCI,ppkm darurat min gaboleh ada resepsi,0,1
9771,"#StopBuatKerumunan , semua sudah diatur,. Jadi tak ad alasan lg tuk melanggar. Bahkan pemerintah tlah mngucurkan bansos tuk menahan efek PPKM Darurat. Sayangi dirimu, patuhi prokes, kurangi mobilitas daan ikut vaksin https://t.co/ScbaovqzbE",semua sudah diatur jadi tidak ada alasan lagi untuk melanggar bahkan pemerintah tlah mngucurkan bansos untuk menahan efek ppkm darurat sayangi dirimu patuhi prokes kurangi mobilitas daan ikut vaksin,2,2
9098,@ArmanMeilana PPKM berlevel loh,ppkm berlevel loh,1,1
2492,PPKM : PELAN PELAN KITA MISKIN,ppkm pelan pelan kita miskin,0,0
8268,Juara 1 bertahan hidup dari masa ppkm level 4,juara bertahan hidup dari masa ppkm level,1,1
6065,"@dayatia Knp hrs begitu. Krn begitu angka2 naik ribut menyalahkan ga ada vaksinasi dan ga ada ppkm. Begitu angka turun memuji gara2 vaksinasi dan ppkm.
Pdhl kedua hal itu ga ada dlm realita. Bahkan vaksinasi adlh cluster penyebaran.
Bagaimana kita membangun argumen berdasar hal yg ga ada?",kenapa harus begitu karena begitu angka naik ribut menyalahkan tidak ada vaksinasi dan tidak ada ppkm begitu angka turun memuji gara vaksinasi dan ppkm padahal kedua hal itu tidak ada dalam realita bahkan vaksinasi adalah cluster penyebaran bagaimana kita membangun argumen berdasar hal yang tidak ada,1,0
39,ppkm bajingan,ppkm bajingan,0,0
4606,@iamvsmymind Ppkm gup pelan pelan kita miskin,ppkm gup pelan pelan kita miskin,0,0
5168,"@dspr_wtf Warkop ""setan kredit masa PPKM""",warung kopi setan kredit masa ppkm,1,0
655,"@GuyonWaton @nikenbil Ga berani nerapin Lockdown karena ga sanggup biayain,tapi pakai istilah baru PPKM yang mirip sama Lockdown.",tidak berani menerapkan lockdown karena tidak sanggup biayain tapi pakai istilah baru ppkm yang mirip sama lockdown,0,0
3006,Ppkm 6 minggu rakyat buta huruf :( sekolah prei 2th spp pancet ae mbayar full,ppkm minggu rakyat buta huruf sekolah prei tahun sumbangan pembinaan pendidikan pancet saja mbayar full,0,0
8678,"Hari pertama ppkm rebahan
Hari kedua ppkm rebahan
Hari ketiga ppkm rebahan
Walaupun kerjaannya rebahan tapi ada kontribusi buat pmerintah ckckckckck....",hari pertama ppkm rebahan hari kedua ppkm rebahan hari ketiga ppkm rebahan walaupun kerjaannya rebahan tapi ada kontribusi buat pmerintah ckckckckck,1,0
856,"PPKM Darurat cara terbaik menghentikan penyebaran COVID-19.

Kebijakan pemerintah terkait PPKM Darurat sudah sangat tepat.

#TolongPatuhiAturanPPKM https://t.co/oIgldz1vsc",ppkm darurat cara terbaik menghentikan penyebaran covid kebijakan pemerintah terkait ppkm darurat sudah sangat tepat,2,2
2729,bar PPKM pingin muncak,bar ppkm pengin muncak,1,1
9646,"Ppkm kapan selesainya woi, butuh healing udah stress next level",ppkm kapan selesainya woi butuh healing sudah stre lanjut level,0,0
7453,@OposisiCerdas @vicividivini Ini yg sepertinya jadi tujuan PPKM diperpanjang terus,ini yang sepertinya jadi tujuan ppkm diperpanjang terus,1,1
1393,"Terima kasih Pak @aniesbaswedan walaupun sebenarnya terlambat karena PPKM Darurat sudah berjalan 2 Minggu, tetapi lebih baik terlambat daripada tidak sama sekali 🙏 https://t.co/JNWr1IGR8u",terima kasih pak walaupun sebenarnya terlambat karena ppkm darurat sudah berjalan minggu tetapi lebih baik terlambat daripada tidak sama sekali,2,1
7691,"@wiriantowidjaya @msaid_didu Yg jelasnya dealnya menguntungkan Cina dan kelompoknya sendiri, tapi merugikan rakyat... 

Disaat PPKM pun TKA Cina bebas sekali tanpa terikat aturan...",yang jelasnya dealnya menguntungkan cina dan kelompoknya sendiri tapi merugikan rakyat disaat ppkm pun tka cina bebas sekali tanpa terikat aturan,0,0
304,"@slam_b @caesar_emil @DivHumas_Polri Kasih wisata jadikan duta ppkm darurat.
🤣",kasih wisata jadikan duta ppkm darurat,0,1
388,"Tapi agak samar2 denger abangnya cerita lagi puyeng banget dan mara2 soal kebijakan penyekatan di jalan2 akibat PPKM darurat yg cukup menganggu kerjaan dia sebagai ojol.

Kasian sih.. emg ya aturan di ms pandemi gini emg serba salah, yg plg kena dampak ya pencari rjki di jalan..",tapi agak samar dengar abangnya cerita lagi pusing banget dan mara soal kebijakan penyekatan di jalan akibat ppkm darurat yang cukup menganggu pekerjaan dia sebagai ojol kasihan sih memang iya aturan di masih pandemi begini memang serba salah yang paling kena dampak iya pencari rjki di jalan,0,0
9111,"Ppkm level 4 , 
Dengan bergantinya judul biasa isinya akan berubah tapi ini sama aja 
Dan ahh sudahlah",ppkm level dengan bergantinya judul biasa isinya akan berubah tapi ini sama saja dan ah sudahlah,0,0
3002,@txtdrpemerintah Yaa kalo ada ppkm ya ga terkendali pak wkwkkwwk,ya jika ada ppkm iya tidak terkendali pak wkwkkwwk,0,0
5292,"@FerdinandHaean3 Amin 🙏
Apa yang mau dikejar Lae?
Kan PPKM...",amin apa yang mau dikejar lae kan ppkm,1,1
6311,"Penerapan PPKM Darurat secara bertahap sudah menunjukkan hasilnya dan salah satunya adalah penurunan mobilitas dan penurunan jumlah kasus harian.

#TetapProkesJanganKendor https://t.co/EUCuMOhFP0",penerapan ppkm darurat secara bertahap sudah menunjukkan hasilnya dan salah satunya adalah penurunan mobilitas dan penurunan jumlah kasus harian,2,2
1156,Selamat pagi generasi PPKM berjilid-jilid.,selamat pagi generasi ppkm berjilid jilid,1,0
4844,Sudah dipastikan ppkm terus,sudah dipastikan ppkm terus,1,1
2707,Aku pikir skrg semua milenial rata” udah pada pinter dan bisa menyaring sesuatu hal dengan cara yg bijak. Ternyata engga 🥲 banyak jg yg marah” dengan murkanya karna pemberlakuan PPKM.,saya pikir sekarang semua milenial rata sudah pada pintar dan bisa menyaring sesuatu hal dengan cara yang bijak ternyata enggak banyak juga yang marah dengan murkanya karena pemberlakuan ppkm,0,0
8122,"Masyarakat sepertinya sudah semakin nggak peduli apa itu PPKM, diperpanjang atau tidak terserah.... merasa pemerintah juga nggak peduli kondisi masyarakat! Baiklah.",masyarakat sepertinya sudah semakin tidak peduli apa itu ppkm diperpanjang atau tidak terserah merasa pemerintah juga tidak peduli kondisi masyarakat baiklah,0,0
8350,@ah_aban Ppkm ga boleh peluk2☺,ppkm tidak boleh peluk,1,1
7740,"ppkm kesekian kalinya berakhir besok, tebak tebakan diperpanjang lg atau tidak",ppkm kesekian kalinya berakhir besok tebak tebakan diperpanjang lagi atau tidak,1,1
5583,"@anditalarasatii Doain ya biar lekas gitu, PPKM ada perubahan kbijakan, masih LDR Dit...",doain iya supaya lekas begitu ppkm ada perubahan kbijakan masih hubungan jarak jauh dit,1,1
4519,PPKM diperpanjang sampai kamu jadi milik aku😋,ppkm diperpanjang sampai kamu jadi milik saya,1,1
6211,"@KediriFess bisa ga sih yang begini ini ditunda dulu??? masih ppkm loh ini, jangan deh bepergian dulu astagaaa",bisa tidak sih yang begini ini ditunda dulu masih ppkm loh ini jangan deh bepergian dulu astaga,0,2
439,"Tumben amat pagi2 dpt tempat duduk 
I luv ppkm ❤😂",tumben amat pagi dapat tempat duduk luv ppkm,2,1
2406,Oran pemimpin gila PB HMI Soroti TKA China yang 'Enak' Masuk Indonesia di Tengah PPKM https://t.co/Xxh02vtDWl,oran pemimpin gila pb hmi soroti tka china yang enak masuk indonesia di tengah ppkm,0,0
5117,"@shfly3424 Yaudah kesini lagi aja kan bisa poto"" lagi nanti, eh tapi jangan dulu deh lagi ppkm :)",ya sudah kesini lagi saja kan bisa poto lagi nanti eh tapi jangan dulu deh lagi ppkm,0,1
2697,Gini bgt ya ppkm😢,begini banget iya ppkm,0,1
5961,"Selama PPKM ini memang kapasitas testing kita kan naik 2 kali lipat standar WHO, dan memang harus dikejar semaksimal mungkin kontak erat pasien positif",selama ppkm ini memang kapasitas testing kita kan naik kali lipat standar who dan memang harus dikejar semaksimal mungkin kontak erat pasien positif,2,1
1509,otak ana keikut ppkm😇😇,otak ana keikut ppkm,1,1
1217,"@HabiebBass mulai males liat, kapolri gak ada gebrakan nyata, apalagi di masa pandemi ini, penyebar hoax bebas2 aja,, kepolisian bolak-balik di tag, ya tetep ayem aja, orang kumpul2 demo aja dibiarin, setelah brutal baru ada ditangkepin, buat apa ada PPKM Darurat klo semua masih sama?",mulai malas lihat kapolri enggak ada gebrakan nyata apalagi di masa pandemi ini penyebar isu bohong bebas saja kepolisian bolak balik di tag iya tetap ayem saja orang kumpul demo saja dibiarkan setelah brutal baru ada ditangkepin buat apa ada ppkm darurat kalau semua masih sama,0,0
8504,"@destinipl Wkwkwk,, yuuukkk, tapi takutnya PPKM nya diperpanjang trus nanti kita daring lagi,",wkwkwk yuk tapi takutnya ppkm nya diperpanjang terus nanti kita online lagi,0,0
2191,"Masyarakat &amp; ibu ibu PKK...

Tetaplah waspada, Hati Hati..
Menjadi Relawan Covid19.

Kenapa nggak Buzzer2Rp PENJILAT2 Relawan2 Pendukung nya yg dikerahkan!!!

PPKM....

Pak Pak Kapan Mundur.",masyarakat amp ibu ibu pakai tetaplah waspada hati hati menjadi relawan covid kenapa tidak buzzer rp penjilat relawan pendukung nya yang dikerahkan ppkm pak pak kapan mundur,0,0
9223,"Yang udah bangun, sunmori yuk bodo amat sama ppkm",yang sudah bangun sunmori yuk bodo amat sama ppkm,0,1
6408,@priorafflesia Semoga pandemi lekas musnah ya Mbak. Sedih rasanya. Tapi kalo ppkm aku mendukung aja sih,semoga pandemi lekas musnah iya mbak sedih rasanya tapi jika ppkm saya mendukung saja sih,2,2
3941,Antara - Kepala BNPB meninjau Posko PPKM dan selter COVID-19 di Sleman https://t.co/VYUJIHwJd4,antara kepala bnpb meninjau posko ppkm dan selter covid di sleman,1,1
3860,"@Arul70848368 @CalonMa22009456 @muannas_alaidid Yg ga sopan itu ulah kadrun...udah tau PPKM siapa suruh demo bawa senpi sm molotov.. ngomongin ga sopan siapa yg ga sopan...
Btw Saudi udah ngasih bantuan vaksin kok...lu kemana aja??",yang tidak sopan itu ulah kadrun sudah tahu ppkm siapa suruh demo bawa senpi sama molotov membicarakan tidak sopan siapa yang tidak sopan ngomong-ngomong saudi sudah memberikan bantuan vaksin kok kamu kemana saja,0,0
7744,"Lagi kena PPKM
🤭🤭 https://t.co/vAeBX30MI2",lagi kena ppkm,1,1
4792,"@GeiszChalifah Waaoo semuga para buzerRP semakin sadar dikit demi sedikit krn kalau sy lihat para pemuja mukidi banyak yg setres gara2 PPKM
P.ak
Presiden
K.apan
M.undur
🤣🤣🤣",waaoo semoga para buzerrp semakin sadar dikit demi sedikit karena kalau saya lihat para pemuja mukidi banyak yang setres gara ppkm aku presiden apan undur,0,0
921,"DIMATA KU..
Kalau ada perencanaan BUSUK kemudian ORANG ASING PADA KABUR otomatis ini menanyakan ada masalah besar .,
*PPKM di buat menyeramkan ,sadis adalah tanda ada yang BERMAIN....
*WACANA PPKM +6 PEKAN HANYA MEMBUAT HAMBATAN 
*Wacana DARURAT MILITER...makin kelihatan 💪",dimata ku kalau ada perencanaan busuk kemudian orang asing pada kabur otomatis ini menanyakan ada masalah besar ppkm di buat menyeramkan sadis adalah tanda ada yang bermain wacana ppkm pekan hanya membuat hambatan wacana darurat militer makin kelihatan,0,0
3245,"@bankIpuuul @nicsap Nanti yaa Kalo PPKM sudah usai....
@nicsap siy akuh iyess...",nanti ya jika ppkm sudah usai siy aku iya,1,1
1578,bukan krn ppkm juga.. https://t.co/doh0AqCLSE,bukan karena ppkm juga,1,1
4299,"@jaelanyyy_08 Kan PPKm, jadi di batesin cuma 20 menit aja",kan ppkm jadi di batasi cuma menit saja,1,1
4907,"@iyusiyusi @ErlinDwifra Kehabisan kaos mungkin, masih di laundry. Pas mau diambil laundry nya malah kena PPKM~",kehabisan kaos mungkin masih di laundry pas mau diambil laundry nya bahkan kena ppkm,0,0
3448,"Selamat pagi,selamat hari minggu,hari terakhir PPKM semoga ga di perpanjang lagi spy bs mengembara lagi mencari rejeki https://t.co/Pby73wFjsu",selamat pagi selamat hari minggu hari terakhir ppkm semoga tidak di perpanjang lagi supaya bisa mengembara lagi mencari rezeki,1,1
5090,"@chubbyyyyi abis ppkm, itupun kalo jkt-bks",habis ppkm itupun jika jakarta bks,1,1
2948,"@Jengnala Aamiin YRA.. 
Aku selama ppkm ngak ad kerjaan buki 😢😢,semua job di cancel berharap ppkm ngak di perpanjang",amin yra saya selama ppkm nggak ada pekerjaan buki semua job di batal berharap ppkm nggak di perpanjang,0,0
1730,PPKM di perpanjanggggggggggggg... https://t.co/sKy0m6T8jS,ppkm di perpanjang,1,1
7716,"@hipohan Memperpanjang PPKM 
Dari Sudut Agama",memperpanjang ppkm dari sudut agama,1,1
5377,"@detikcom Rakyat siap tapi ganti istilah istilah itu dg langkah nyata, masak ppkm hny urusi warung makan",rakyat siap tapi ganti istilah istilah itu dengan langkah nyata masak ppkm hanya urusi warung makan,0,0
7964,yey PPKM hari terakhir,yey ppkm hari terakhir,1,1
8134,WKWKW DAH MUAK SAMA PPKM https://t.co/cCfvvWaCDu,wkwkw sudah muak sama ppkm,0,0
8986,"@mharisman Setuju. Tidak terbayang sampai kapan PPKM digelar, di ujung saat normal akan kembali beredar varian delta ini.

Kecuali saat bertahan di rumah, vaksinasi digenjot maksimal 2-3 juta per hari.",setuju tidak terbayang sampai kapan ppkm digelar di akhirnya saat normal akan kembali beredar varian delta ini kecuali saat bertahan di rumah vaksinasi digenjot maksimal juta per hari,1,0
4296,"Dasco: Mari Kita Dukung Perpanjangan PPKM, Ini Demi Keselamatan Rakyat!
https://t.co/M6pzK2wPvC Satu NusaBangsa Indonesia",dasco mari kita dukung perpanjangan ppkm ini demi keselamatan rakyat satu nusabangsa indonesia,2,2
6453,PPKM pelan pelan kumasukin memeknya 😓,ppkm pelan pelan kumasukin memeknya,1,1
3148,"@mohmahfudmd Evaluasi PPKM
1. kasus covid terus meningkat
2. Ekonomi merosot
3. Kerusuhan masyarakat (pedagang) dn satgas dimana2

Tolong jadi bahan pertimbangan pak @mohmahfudmd apa lagi udah ada rencana isu perpanjangan PPKM 6 minggu. #PPKMtidakefektif",evaluasi ppkm kasus covid terus meningkat ekonomi merosot kerusuhan masyarakat pedagang dan satgas dimana tolong jadi bahan pertimbangan pak apa lagi sudah ada rencana isu perpanjangan ppkm minggu,0,0
970,"2hr milano sekolah online via video call. Hari pertama blg ""mau kerumah nenek"" krn disangkanya bu guru adalah neneknya 🤣 (milano udah kangen berat sm neneknya) huhu ppkm memisahkan jarak ya nak",hari milano sekolah onlen via video call hari pertama bilang mau kerumah nenek karena disangkanya bu guru adalah neneknya milano sudah kangen berat sama neneknya huhu ppkm memisahkan jarak iya mau,1,1
8687,Khofifah menyebutkan jika PPKM Darurat bakal berlaku mulai tanggal 03 Juli 2021 hingga 20 Juli 2021 baiklah,khofifah menyebutkan jika ppkm darurat bakal berlaku mulai tanggal juli hingga juli baiklah,1,1
5836,"untungnya aku paling males ngajak ngobrol orang, pulang kerja ya ngunci diri di kamar, rebahan aja. kalo kepepet ngobrol ya pake masker.
Puji Tuhan aku belum pernah sakit selama PPKM, masih dikasih reward sehat sama yg di atas 🥲",untungnya saya paling malas mengajak mengobrol orang pulang kerja iya ngunci diri di kamar rebahan saja jika kepepet mengobrol iya pakai masker puji tuhan saya belum pernah sakit selama ppkm masih dikasih penghargaan sehat sama yang di atas,2,2
1731,"Selamat pagi ,, 

PPKM nya di perpanjangan ya https://t.co/j1GWo4QhQA",selamat pagi ppkm nya di perpanjangan iya,1,1
3413,Salon yang masih buka pas ppkm gini dimana yaa? Pengen potong rambut:( [bgr],salon yang masih buka pas ppkm begini dimana ya mau potong rambut bgr,1,1
2602,Pertm x kekantor pke grab ngntt krn ga pake surat tugas anjg ppkm sialan https://t.co/sXJw9jF98g,pertm kekantor pakai grab ngntt karena tidak pakai surat tugas anjing ppkm sialan,0,0
5359,eh lupa ppkm..,eh lupa ppkm,1,1
5426,"Bersyukur sebab dengan PPKM dan Prokes Indonesia berhasil utk menekan terjadinya penyebaran virus copid-19....

PPKM tentu saja sangat membantu utk menyelamatkan kita...

#BersatuPaduAtasiPandemi https://t.co/ML3l7QZkvS",bersyukur sebab dengan ppkm dan prokes indonesia berhasil untuk menekan terjadinya penyebaran virus copid ppkm tentu saja sangat membantu untuk menyelamatkan kita,2,2
3693,@IvoneHall @subindiahneelam Pagi mbak @IvoneHall ..disana jg diperpanjang y kaya PPKM disini mbak. Sehat slalu aja y bersama keluarga,pagi mbak disana juga diperpanjang kayak ppkm disini mbak sehat selalu saja bersama keluarga,2,1
6572,Aturan PPKM yang berjalan bisa mematikan usaha anggota mereka. https://t.co/TP7yrCVgDo,aturan ppkm yang berjalan bisa mematikan usaha anggota mereka,0,0
1527,ini udah gak ppkm kan?,ini sudah enggak ppkm kan,1,1
7722,@Hffftbgt Ohh ppkm taunya ppkn.,oh ppkm taunya ppkn,1,1
9278,@FWBESS ppkm mas.,ppkm mas,1,1
2149,"Sudah niat hati ingin menonton black widow, malah ppkm",sudah niat hati ingin menonton black widow bahkan ppkm,0,1
4121,kan ppkm https://t.co/xsx0Cxx26u,kan ppkm,1,1
7985,@setkabgoid @jokowi Pidato tak penting. Jauh lbh penting solusi perut rakyat yg lapar gara2 ppkm dan ekonomi yg nyungsep,pidato tidak penting jauh lebih penting solusi perut rakyat yang lapar gara ppkm dan ekonomi yang nyungsep,0,0
5333,"Kita lihat, apakah PPKM akan di perpanjan atau tidak.....

Ngak sabar nunggu singkatan apa lagi nih dari pemerintah untuk menyesiati ""semi lockdown"" hihihihi.",kita lihat apakah ppkm akan di perpanjan atau tidak nggak sabar menunggu singkatan apa lagi ini dari pemerintah untuk menyesiati semi lockdown hihihihi,1,1
4047,"#PatuhProkesHargaMati
Perpanjangan PPKM Darurat adalah untuk kepentingan bersama cegah penularan Covid-19.
Ayo dukung perpanjangan PPKM Darurat level 4 untuk antisipasi penularan varian Delta dan juga untuk melindungi kesehatan bersama. https://t.co/rDT8y2Cbry",perpanjangan ppkm darurat adalah untuk kepentingan bersama cegah penularan covid ayo dukung perpanjangan ppkm darurat level untuk antisipasi penularan varian delta dan juga untuk melindungi kesehatan bersama,2,2
2302,@PuteriSrimaya Ppkm dek... semacam lockdown tp ga mau kasi makan🤣,ppkm adik semacam lockdown tapi tidak mau kasih makan,0,0
