0,label,predict,0,1,2
gila bulan juli hari kerja sehabis libur panjang ppkm kerasa                              ,1,2,0.3404,0.2607,0.3989
kepanjangan ppkm pak pres mundur                                   ,0,1,0.2781,0.6356,0.0863
ppkm bandara dibuka wkwk                                    ,0,1,0.1708,0.7574,0.0719
ppkm diperpanjang mencari jodoh dibatesin terus iya                                 ,0,1,0.2958,0.5291,0.175
bantu ppkm                                      ,2,1,0.1298,0.6666,0.2035
janji ketegasan ancaman untuk menindak melanggar ppkm diuji ancaman menindak melanggar melanggar dilakukan berhenti ancaman tindakan                        ,1,0,0.9437,0.0419,0.0144
 ppkm level levelan menyerang mi my body                                ,1,0,0.9517,0.0355,0.0129
ppkm mudah an terkontrol                                    ,2,1,0.0096,0.9837,0.0067
pesta ulang tahun  ditengah ppkm nih                                 ,0,1,0.2881,0.3964,0.3155
lanjut ppkm eh yakali  menit                                  ,1,0,0.6634,0.2525,0.0841
dine  langganan tolong abangnya gak mau buka ppkm                               ,0,1,0.1677,0.7662,0.066
gara ppkm terjebak membandingkan sih miskin kayak situ enak laper lupa allah arrazaaq maha pemberi rizki luas orang berbagi berempati ibadah lupakan esensinya                 ,1,0,0.9797,0.0146,0.0057
enak menyalahkan rakyat terus ikuti prokes ikut aturan ppkm bansos masalah                             ,0,2,0.3276,0.1477,0.5247
ppkm pengen cari kerja                                    ,1,0,0.5517,0.3013,0.147
jalan menuju rsia ditutup rsia nya persis taman selamat jadi jalan masuk ppkm darurat lewat jalan jadi ramai                      ,1,0,0.6304,0.2322,0.1374
terkenal mengadakan acara ulang tahun ditengah ppkm                                 ,1,2,0.1711,0.1889,0.64
bicara embel   makan hidup usul ppkm  papa     kenyang                         ,0,1,0.1386,0.8262,0.0352
berarti orang berhak liburan iya terus guna ppkm sih                               ,0,1,0.4017,0.4983,0.1
ppkm pelan pelan mat                                    ,0,1,0.0796,0.8676,0.0528
 hbd semoga panjang umur sehat sukses   soalnya ppkm                             ,1,2,0.0268,0.229,0.7441
 kebijakan pelaksanaan penanggulangan pandemi   dilihat faktor penyebab  upaya masyarakat lockdown total psbb ppkm pertimbangan sosial ekonomi kekuatan daerah beda                 ,1,0,0.9134,0.0571,0.0294
ppkm jadi gerak jalan online pak ketua dewan                                ,1,0,0.442,0.429,0.129
ppkm level tidak punya pekerjaan level siap ndan                                ,0,2,0.1626,0.3841,0.4533
progres penyaluran bantuan desa prosentase tertinggi kota batu untuk desa tersalur bantuan desa desa alokasi dana desa untuk ppkm mikro untuk penanganan covid                 ,2,1,0.0451,0.8689,0.086
ppkm memaksaku                                      ,0,1,0.2149,0.6525,0.1327
awas kena pol pulang pergi pak ppkm eh  ppkm                              ,1,0,0.7998,0.1309,0.0692
arti nya kebijakan ppkm dalurat membuka pintu untuk penjajah masuk negara                             ,0,1,0.1779,0.6956,0.1265
penyekatan ppkm darurat lamongan diperluas diterapkan seputaran alun alun diperluas ruas jalan                            ,1,0,0.7133,0.1909,0.0958
demo ppkm                                      ,1,0,0.4069,0.4533,0.1398
ppkm selesai pengin pulang semarang huhu rindu banget tahun pulang                              ,1,0,0.5168,0.3677,0.1156
pertanyaan sebutkan pasal pasal sanksi pelanggar ppkm darurat jawab kitab undang undang hukum pidana kuhp pasal                        ,1,0,0.5469,0.309,0.1441
ternyata ya alasan doi menghilang pemerintah berlakukan ppkm perhatian menghilang                              ,1,0,0.6895,0.1989,0.1116
perlu diadakan ppkm kak grebek vaksin                                  ,1,0,0.7304,0.1753,0.0944
untungnya kemarin pak pol borong dagangan mbak jualan langsung pulang pas jam ppkm                           ,2,1,0.1537,0.7244,0.1219
ppkm meresahkan salat sip sip an                                  ,0,1,0.0174,0.9744,0.0082
menjerumuskan umat islam ppkm dilanggar umat tertular covid diharapkan                               ,0,2,0.3231,0.1335,0.5434
keluar minggu seblum ppkm ppkm rumah full sekalinya keluar jemput naik mobil jadi  iya orang rumah enggak pernah  enggak pernah kondangan enggak pernah naik kendaraan umum itupun kosong banget         ,1,0,0.7325,0.1627,0.1049
ppkm ngefek nya hubungan renggang                                   ,1,0,0.9173,0.0606,0.0221
pelan pelan kumpul  dimasa ppkm                                  ,2,0,0.7634,0.1563,0.0803
terkendali memberlakukan ppkm darurat                                    ,0,1,0.2388,0.5758,0.1854
uniknya waktu pagi sore kurang terasa pengetatan kegiatan masyarakat terlihat masyarakat bebas bersosialisasi alun masker pasar tradisional kemruyuk ppkm kota penting jam atas gelap gulita iya              ,0,1,0.2081,0.5959,0.1959
ppkm terus perpanjang                                     ,1,0,0.3068,0.5396,0.1536
hari kedua ketiga hari diliburkan ppkm                                  ,1,0,0.8322,0.1201,0.0477
pilih corona ppkm tahun iya                                   ,0,1,0.3669,0.411,0.2221
polisi indonesia berani mbubarin kerumunan katanya ppkm darurat italia vs spanyol penalti                            ,0,1,0.3887,0.5113,0.1
pak usul program vaksinasi dibuatkan  kepala daerah setingkat walikota coba bapak lihat area persen warga vaksin kedepannya ppkm mikro  area kasus penularan vaksin               ,2,1,0.0452,0.8828,0.0719
siap  ppkm tahun                                    ,0,2,0.0755,0.1468,0.7777
ketat banget kayak ppkm                                    ,1,2,0.1717,0.1982,0.6301
yuk ppkm udahan diriku butuh udara sejuk                                 ,1,2,0.0333,0.2071,0.7596
pertumbuhan  makro pokoknya aktivitas ekonomi dihitung kuartal psbb dibilang kegiatan ekonomi tutup vs kuartal ppkm iya kelihatannya tinggi plus faktor negara pulih mulai buka  impor             ,1,0,0.9863,0.0097,0.004
umkm ppkm pendapatan macet total adakah kebijaksanaan bri penundaan hutang                              ,0,2,0.3373,0.2645,0.3982
psbb psbb transisi ppkm ppkm mikro ppkm darurat tinggal menunggu ppkm  ppkm special edition melahirkan istilah untuk menghindari kata lockdown                   ,0,1,0.3974,0.4517,0.1508
baru contoh baik memberikan solusi menerapkan ppkm darurat ala jokowi untuk petugas dilapangan kehabisan duit meminta tim ksp inshaallah gaji siap disumbangkan wabah kelar                ,2,0,0.9981,0.0014,0.0005
selamat pagi ppkm hari harimu                                   ,1,2,0.1165,0.1974,0.6861
berharap banget tanggal benar terakhir ppkm sue                                 ,0,1,0.3261,0.3893,0.2846
pmi jalan aceh jam hari brother sistemnya shift  ppkm bukanya kayak jam kerja orang tutup jam nan salah                     ,1,0,0.9747,0.0176,0.0076
ppkm teman mengadakan pertemuan aduh                                   ,0,1,0.2051,0.6771,0.1178
selamat ulang tahun indonesia merdeka bebas eh besok ppkm                               ,1,2,0.2903,0.2677,0.442
status perpanjangan ppkm berbagai daerah bergantung sih ikut  menurunkan kasus covid ppkm selesai                          ,1,2,0.0518,0.0663,0.8819
kira  twitter hilang knapa iya saking gak  ppkm gak                             ,1,0,0.9755,0.0177,0.0068
hidup intinya bakoh punya uang punya uang bakoh kesal kesal bakoh ppkm ppkm bakoh telan mentah kenyataan terbiasa                      ,1,0,0.9999,1e-04,0.0
benar jadi sedih banget soalnya teman berhenti kuliah ppkm terus keringanan                             ,0,2,0.1986,0.3008,0.5005
kemarin beritanya gembar gembor heboh ar juli agustus ppkm level eh nyatanya tengah malam pagi surat resminya wkwkwk hopele pemerintah terserah deh                  ,0,1,0.3824,0.4215,0.1961
dicoba seblm kena ppkm                                    ,1,0,0.8355,0.1212,0.0433
arogan oknum polisi ppkm benar menyita perhatian                                 ,1,0,0.9659,0.0269,0.0072
 waktu liburan plis ppkm terakhir perpanjang waktu terakhir liburan masuk semester                            ,0,1,0.1968,0.6707,0.1326
tetap mengadakan lomba agustus walopun ppkm                                  ,1,2,0.2207,0.3681,0.4112
nya dokter terus  bilang kena sekolah iya mohon maaf dok kerja ppkm wfh oh mengira gapapa dok data umur dok                   ,1,0,0.9164,0.0639,0.0197
dibutuhkan bansos untuk pedagang usahawan tidak punya pekerjaan terdampak  psbb ppkm keluar tambahan tunjangan utuk pns tni polri punya gaji tetap rutin dibutuhkan dana untuk alkes amp penunjang kesehatan keluar dana pengadaan laptop      ,0,2,0.702,0.0335,0.2645
disuruh keluar rumah jelas ppkm punya surat vaksin pcr                               ,1,0,0.74,0.1856,0.0744
ppkm is maksud plis kopitnya mati                                  ,2,0,0.9297,0.0385,0.0317
selamat pagi orang orang menunggu hasil ppkm                                 ,1,2,0.1565,0.209,0.6345
ppkm baru semalem tidur normal                                   ,1,0,0.4556,0.3781,0.1663
tiba berenang public  kayaknya buka ppkm                                 ,0,1,0.0487,0.9301,0.0212
sarapan  kuat  ppkm                                   ,1,2,0.0365,0.1006,0.8629
positive thinking ppkm lockdown setelahnya ekonomi ri meroket                                ,2,0,0.4778,0.3547,0.1675
ppkm lanjut covid mengancam lengah                                   ,1,2,0.0894,0.1649,0.7456
ppkm                                       ,0,1,0.2063,0.6576,0.1361
warung warung sekongkol buka apaya perasaan hari senin  ppkm berpengaruh jam buka warung                          ,1,0,0.6033,0.2556,0.1411
ppkm brother kemarin kawan ku setuju tidak usah datang mengurangi kerumunan orang                            ,1,2,0.2276,0.3363,0.436
ppkm diperpanjang lanjutkan                                     ,1,0,0.5625,0.3412,0.0964
iya ppkm gara kasusnya naik naik terus semoga level ppkm kayak                             ,1,2,0.253,0.2804,0.4665
baca tulisan ppkm ingat psbb dengar kata psb ingat bansos dikorpsi                             ,0,1,0.1057,0.8097,0.0846
selamat pagi libur ppkm level dirumah beraktifitas keluar teman teman nikmati  kopi plus                          ,1,2,0.0469,0.066,0.8871
tahu ppkm menemukan pink nya susah penyekatan                                 ,0,1,0.3716,0.4928,0.1356
pagi ppkm harapan senin semoga pekerjaan seminggu lancar                                ,1,2,0.0216,0.0317,0.9467
wfh wfo gara gara ppkm dikantor orang jadi sepi banget tidur lantai tempat acara meeting besarnya kantor jam tidur disitu kebangun jam atasan panik mencari dikira kabur tidur sofa empuk          ,1,0,0.5316,0.3321,0.1363
susah mendapati mengikuti strategi pemerintah deh strategi ppkm pelan pelan kudekati mamahnya                            ,1,0,0.5425,0.2427,0.2147
bangun now watching diajak  ppkm jadi deh                                ,1,0,0.7754,0.1355,0.0891
benar ppkm investor  hati ambil keputusan mengambil strategi pas                              ,1,2,0.0915,0.2101,0.6985
ppkm darurat pemprov pemerintah daerah hadir keramaian turun signifikan namanya                              ,0,2,0.0667,0.1019,0.8314
ppkm cepat selesai kangen main teman                                  ,0,1,0.1874,0.7254,0.0872
pahitnya kopiku sepahit mendengar kabar ppkm diperpanjang                                 ,0,1,0.3955,0.3958,0.2087
 laper pas shift malam ppkm tutup                                 ,0,1,0.3213,0.5356,0.1431
pemerintah subsidi upah sebesar rp bulan diberikan bulan dapatkan satu kali pencarian rp juta ditangan tinggal wilayah ppkm level mendapatkan subsidi upah sebesar rp                ,0,2,0.0071,0.0147,0.9782
hari mulai namanya ppkm darurat bkt yauda terserah                                ,0,1,0.2792,0.6164,0.1045
berharap aturan ppkm longgar dibanding mengingat menanti hari berakhir ppkm memulai  jeda pemerintah tinggal diam tetap menyalurkan bantuan untuk masyarakat terdampak                  ,1,2,0.1391,0.1058,0.7551
tahun baru  sepatutnya  pandemi risau kelanjutan ppkm mustinya  kaget ppkm diperpanjang     ppkm tiada ciri    sirna               ,2,0,0.9077,0.0595,0.0328
wkwkw muak ppkm                                     ,0,1,0.0838,0.882,0.0342
dirasa istilah ppkm super darurat setelahnya ppkm super duper darurat kasus meningkat diberlakukan ppkm darurat pemilihan istilahnya kedepan sulit                     ,1,0,0.9983,0.0013,0.0004
me before ppkm supply barang  toko  punya  me during ppkm tidor seharian ngerjain orderan  syukur  bye                   ,1,0,0.967,0.0208,0.0122
tutup ppkm                                      ,1,0,0.4293,0.4047,0.166
duta ppkm                                      ,1,0,0.8289,0.1198,0.0514
ppkm uncle                                      ,1,2,0.2811,0.3217,0.3972
enak beli toko oflen aslii ppkm                                  ,1,0,0.6641,0.1522,0.1837
pengusaha tempat usaha nekat melanggar ketentuan ppkm darurat sanksi  izin usaha  jadi darurat ya                        ,1,0,0.5282,0.2437,0.2281
ppkm pembatasan pelarangan jadi lelucon planga plongo mikir                                ,0,1,0.3341,0.5429,0.123
wisata  taat ppkm                                    ,2,0,0.4124,0.2949,0.2927
mah jauh terus ppkm                                    ,0,1,0.3579,0.4538,0.1883
hmm idul adha kemana ppkm sedang apa iya hari ceilah                              ,0,1,0.3143,0.538,0.1477
ppkm memberi kesempatan menonton serial sinema elektronik ikatan cinta                               ,2,1,0.0678,0.8744,0.0578
gubernur khofifah  pihaknya melakukan sejumlah roda perekonomian masyarakat tetap berjalan  menerapkan ppkm darurat level                        ,2,1,0.2175,0.3425,0.44
situasi ppkm dijamin                                     ,0,1,0.1628,0.6902,0.147
ppkm mas longgar menginap kosan                                   ,1,0,0.8205,0.129,0.0505
ppkm ra  kamar  wkwk                                  ,1,0,0.3625,0.4728,0.1647
ppkm je jaga jarak ramai                                   ,2,1,0.1172,0.7797,0.1031
masuk oflen mya diundur habis ppkm hariini tetap onlen                               ,1,0,0.4854,0.378,0.1366
tahu mikir peraturan ppkm darurat berlaku jepara pamflet brosur daftar kota jepara tertera disitu terus bilang iya tetap berlaku jeparany diakuin kota                  ,1,0,0.7656,0.1564,0.078
efektif iya ppkm berasa udah tanggal                                  ,2,0,0.4466,0.3991,0.1543
patah hati anak orang tua sakit nengokin jauh ppkm semoga  cepat sembuh iya allah terpikirkan terus                       ,0,1,0.1666,0.3618,0.4716
kecewa bapak memperpanjang ppkm                                    ,0,1,0.1735,0.75,0.0765
daerahku ppkm jadi puasanya mulai kemarin sih hari dua sisa                              ,0,1,0.2449,0.5626,0.1926
beliau memberikan peringatan perusahaan non esensial meminta karyawan merekam video handphone bentuk arahan mematuhi aturan kebijakan ppkm darurat                      ,2,0,0.4122,0.1985,0.3892
taichan taichan ppkm diperpanjang terus semoga  berjuang melawan                               ,1,2,0.0787,0.1355,0.7858
rencana ppkm kemenkeu minggu dijalanin dicicil seminggu seminggu irit bansos yakan                             ,0,1,0.3549,0.4189,0.2263
jog beli dried flower tokonya buka pas ppkm dimana iya                              ,1,0,0.9444,0.0403,0.0153
pagi perlu dipikirkan pokoknya ppkm berakhir semoga kuat akhir                               ,2,0,0.3904,0.3268,0.2828
nyewa lapangan yuk habis ppkm main badminton                                 ,1,2,0.0915,0.4529,0.4557
beda menit durasi waktu makan warung ppkm level disampaikan pak menko marinves pak luhut jadi kucing pilih menit iya ibu susi                   ,1,0,0.9087,0.0632,0.0282
ppkm raya kemarin kontrol banget bb lihat timbangan tidak mau ogahan ih                            ,0,1,0.2548,0.6412,0.1039
ppkm sistem kerja shift an masuk jam kecuali sabtu nongkrong  loker                            ,1,0,0.9698,0.0228,0.0074
banget mencoba jiwa  tahu  ppkm citraland buka enggak sih buka jam                           ,0,1,0.271,0.5642,0.1648
ppkm pempek kuah model                                    ,1,0,0.6517,0.2452,0.103
sahabat ppkm menutup rejekimu sebagian pintu darat pintu langit dibuka dzat pemberi rizki lupa angkat kedua telapak tanganmu setinggi tingginya                    ,2,1,0.2215,0.5316,0.247
masa ppkm bantuan iya saudara laki laki sis bansos maaf penasaran tv berita dengar benar                         ,1,0,0.8591,0.0904,0.0505
disuruh ppkm hokage                                     ,1,0,0.4453,0.3316,0.2231
ppkm menyebabkan wanita jadi setia pasangannya iya senang tititnya tertawa guling guling                            ,1,0,0.9514,0.0348,0.0138
ingat banget kemarin pas nikahan om serba dadakan ppkm drama ikut klaten ikut bingung memakai    thankyou sok  kakak membolehkan   menang              ,1,0,0.9511,0.0362,0.0128
siap siap alesannya ppkm                                    ,1,2,0.0252,0.0739,0.9009
 batang serahkan bantuan warga kurang terdampak menjadi seseorang ppkm                              ,2,0,0.5576,0.2096,0.2328
sabar lihat ppkm darurat daan mogot hari senen                                ,1,0,0.8393,0.0938,0.067
 bertemu amin ppkm perpanjang                                   ,0,1,0.2845,0.4091,0.3063
woi ppkm cok liburan                                    ,0,1,0.1437,0.8033,0.053
waktunya liburan ppkm                                     ,0,1,0.1712,0.7319,0.0969
mas anang galau bebs ppkm diperpanjang panjang lebar tinggi nam rebu ketemu beratnya bebs                          ,1,0,0.6775,0.2389,0.0835
 mah mengingatkan terus udah tahu ppkm                                 ,1,2,0.2909,0.3019,0.4072
ah takut bayar  ppkm bayar eh ketawa barengan mainnya ajak menonton deh                           ,1,0,0.9992,0.0007,1e-04
dilockdown dilockdown ppkm darurat pade  tujuan rusuh membantu ngomong ngomong kalah pilpres sakitnya terasa iya                        ,0,2,0.2365,0.2306,0.533
iya viral gara gara acara pas ppkm                                 ,1,0,0.8733,0.0881,0.0386
untuk rakyat mah prokes prokes ppkm saudara laki laki                               ,0,2,0.1182,0.1095,0.7723
masalah subsidi stimulus sektor industri  menyebabkan nekat mematuhi ppkm darurat kaum buruh menjadi korban baik secara ekonomi kesehatan                     ,1,2,0.039,0.0486,0.9124
wkwkwwk ppkm kah                                     ,1,0,0.6887,0.233,0.0783
 uang ppkm perpanjangan uang pokoknya                                  ,1,0,0.3674,0.3545,0.2782
tahu persis bgm busuknya rs tenaga kesehatan terjun keliling rs bandung jakarta masa ppkm mulai katanya icu penuh pasien covid bangsal ruang isolasi kosong terisi pemaksaan antigen sbl dikasih infus merujuk pasien rs besar      ,0,1,0.2388,0.3985,0.3627
ketemu orang hebat kemarin driver ojol yana produsen ladu beralih profesi jadi pengamen ukulele ber tanya ppkm jawabannya alhamdulillah dijalani disyukuri merinding                  ,2,1,0.245,0.6216,0.1334
an derajat alasan untuk gak keluar rumah ppkm dilarang panas banget keluar sebentar gosong                          ,1,0,0.3811,0.3605,0.2584
ppkm darut pemurtadtan umat muslim masjid sepi dengar suara adzan amp takbiran                            ,0,2,0.1133,0.1958,0.6909
yuk tetap menyerah semangat ya hari rabu sebentar weekend ppkm jadi kemana ya puncak gunung sagara                        ,0,2,0.0148,0.0278,0.9574
akibat ppkm kunjung selesai me menolak perpanjangan kontrak barcelona                               ,0,1,0.0366,0.9478,0.0156
ppkm diniatkan terjadi kematian al terurusnya korban terpapar ketakutan pengambil kebijakan jauh atas rata rata orang orang dihargai perlu curiga industrasi kapitalisasi persoalan                 ,2,0,0.9981,0.0014,0.0004
ppkm memberi kesempatan menonton serial sinema elektronik jodoh  bapak asyik sih muter muter pemahaman penulis cerita kurang pas masak bapaknya meninggal tiba hidup gara kucing hitam  mayat sih bapak aneh        ,1,0,0.9832,0.0107,0.0061
selamat ppkm menjalankan hindari kerumunan iya bismillah informasi  minggu pagi                             ,2,1,0.0927,0.8305,0.0768
kemarin teman real life ngeluh ppkm menurutku iya gamasalah sih ngeluh ppkm susah mencari jalan tidak usah bilang covid penyakit tahu rasanya merasai semoga sehat sehat iya             ,0,2,0.1085,0.081,0.8105
khawatir mbak menaikkan imun tubuh masa ppkm                                 ,2,1,0.3457,0.5033,0.151
gphm sasaran ppkm jadinya urusan lintas mencegah penularan covid interaksi manusianya ya iya interaksi kendaraan memicu penularan covid varian covid                    ,0,2,0.0308,0.0484,0.9208
ppkm penting mingkem                                     ,1,0,0.9089,0.0646,0.0265
pemerintah pusat ngasihnya baru ngasihnya pemerintah daerah jadi dibikin minggu ppkm berlalu pemerintah pusat memberikan                         ,1,0,0.9418,0.0389,0.0193
wfh kah semangat libur ppkm wkwk                                  ,1,2,0.1253,0.2799,0.5947
bapak tahu sih terjadi masyarakat menengah kebawah ppkm                                ,1,0,0.8361,0.1051,0.0588
lihat ppkm perpanjan nggak sabar menunggu singkatan pemerintah untuk  semi lockdown                            ,1,2,0.1518,0.2521,0.5961
warga terdampak ppkm merasa  penerbangan  balon hm tunggu jawabannya pesan pesan berikut                          ,1,0,0.7446,0.1706,0.0848
menghapus angka kematian indikator  ppkm level dinilai berbahaya penanganan covid dilakukan panduan benar cara menyebabkan penanganan covid mobil                     ,0,2,0.0521,0.0624,0.8855
hai kak hobi makan kurus yuk pesan kaos keren bantu banget kak toko ku sepi semenjak ppkm iya jualan onlen                    ,0,2,0.2807,0.2727,0.4466
darurat yakin ppkm darurat lonjakan pnularan dtekan atuhi prokesny                               ,2,0,0.4352,0.3859,0.1789
ppkm  pol pulang pergi                                   ,0,1,0.0735,0.8549,0.0716
tanya kebaikan ppkm perpanjang tolong mendukung ppkm termasuk kiyai jawab pertanyaan                             ,0,2,0.0605,0.2457,0.6938
uang ribu                                      ,0,1,0.241,0.5331,0.2259
yuk rakyat indonesia yuk ppkm berjilid                                  ,2,1,0.3214,0.4566,0.222
ppkm diperpanjang masyarakat  tenang imun turun                                 ,0,1,0.2887,0.4994,0.2119
pandemi cok ppkm                                     ,1,2,0.2604,0.2555,0.4841
disuruh tertib prokes kondisi ppkm kayak protes ppkm ngerokok orang salahkan ppkm coba lihat pribadi taat prokes untuk keselamatan orang                    ,0,2,0.0569,0.0309,0.9122
sayang seribu sayang marwah final hilang komentatornya dimasa ppkm darurat hiburan tv dibutuhkan betah                          ,0,2,0.0595,0.1675,0.773
baca isi berita sih membicarakan soal wisatawan bicara soal aturan orang luar daerah masuk jogja mesti sehat nunjukin bukti vaksin sbgmn aturan ppkm darurat brlaku  obyek wisata daerah istimewa yogyakarta kemarin ditutup       ,1,0,0.9528,0.0313,0.0159
orang tua cewek kayak ppkm bos suruh jaga jarak anaknya                              ,1,2,0.3106,0.3233,0.3661
memikirkan besar terjadi melupakan terjadi hidup contoh bernafas berlari makan  ppkm diperpanjang                           ,1,0,0.9999,1e-04,0.0
iya ampun percaya yakali pak jokowi  urusan level ppkm nyuruh stream                            ,1,0,0.9416,0.0385,0.0199
boros iya ppkm kemana nge gopud baru boros banget iya wkwkwkk                             ,0,1,0.2964,0.5063,0.1974
kocak iya hiburan masa ppkm                                   ,0,2,0.0804,0.1117,0.8079
sebentar hut kemerdekaan ri merdeka ppkm                                  ,0,1,0.121,0.8068,0.0722
juta pekerja buruh menerima subsidi upah pemerintah bantuan subsidi upah rp juta untuk buruh pekerja ppkm berlangsung yes dapur tetap ngebul                   ,0,2,0.0043,0.0086,0.9871
baju ppkm                                      ,1,0,0.4003,0.3631,0.2366
bicara uu pasal karantina uu nya psbb ppkm uu nya                              ,1,0,0.7345,0.2443,0.0212
ppkm perpanjang terus hilang rasa kangennya                                  ,0,1,0.1215,0.6663,0.2121
psbb  ppkm reborn tidak tahu menjelang kali                                ,0,1,0.156,0.761,0.083
kerasa hari ppkm selesai ppkm ganti biologi                                 ,2,1,0.1963,0.7206,0.083
scroll tiktok isinya jogya  jogya diam sebentar gaksih ppkm   kopit wkwkwkkw                          ,0,1,0.194,0.5731,0.2329
sehari enggak tau ppkm                                    ,1,0,0.8365,0.1208,0.0428
ar ppkm level level kepedisan mi                                  ,0,1,0.0871,0.8153,0.0975
ppkm pak pastikan keadaan masyarakat pak pastikan makan sulit untuk bertahan pemberlakuan pembatasan kegiatan masyarakat                         ,0,2,0.2191,0.2972,0.4837
juli jawa bali ppkm tidak bisa brother jdinya                                ,0,1,0.1791,0.7222,0.0987
komisaris utama telkomsel wisnutama memastikan jaringan wifi rumah bermasalah tumbang melakukan work rumah bekerja rumah putra putri tengah melaksanakan pembelajaran secara online onlen ppkm                ,2,0,0.4935,0.4125,0.094
awan menangis mendengar ppkm diperpanjang                                   ,0,1,0.4076,0.4986,0.0937
iya asli nya habis ppkm selesai berangkat jakarta disuruh menunggu  nikah                            ,1,0,0.4148,0.4105,0.1747
pengen menonton ayah okin tolong broker ngide banget ppkm diperpanjang                              ,1,0,0.712,0.1875,0.1005
dihujat menerapkan ppkm jokowi dipuji ppkm berhasil menurunkan kasus covid anis                             ,1,2,0.1157,0.1707,0.7135
ppkm proses penundaan kelulusan mahasiswa                                   ,1,0,0.9551,0.0345,0.0104
aduh sabar yuk besok ppkm terakhir moga tidak ada perpanjangan jadi hambatan                            ,2,1,0.1559,0.6805,0.1636
samperin papa nya  ppkm                                   ,1,0,0.5072,0.3742,0.1186
pagi online selamat kembali memulai aktivitas ditengah suasana hari tasyrik diperpanjang nya ppkm semangat keluar kerja makan                       ,1,2,0.1787,0.2171,0.6042
panjang keras ppkm diperpanjang                                    ,0,1,0.0953,0.8648,0.0399
setuju ppkm nongkrong                                     ,0,2,0.2843,0.1572,0.5585
